class,khaiii_text
협박 대화,조용히 살 하 새끼 깔짝 깔 짝 건드 그 마 정말 네 잘못 잘못 말 신고 하 마 나쁘 일 경찰 야 경찰 새끼 남 일 오지랖 외골수 새끼 입술 부르 트 처맞 아직 정신 못 차리 뇌 아직 터지 안 맞 그러 제발 멈추 조용히 하 조용히 하 안 중요 이빨 꽉 깨물 안 그러 가 새끼 제발 만
갈취 대화,돈 빌리 가 갚 시간 조금 더 주 자선 사업 가 사업가 알 부탁 드 보 남 이제 없 같 말 이 진짜 빈털터리 보 자동차 있 거 없 정말 거 주 남 돈 빌리 편하 차 타 다니 하 걷 다녀 그러 몸 때우 갚 이자 너무 비싸 아쉽 때 빌리 이제 오 이제 타령 웃기 말 저 가져가
협박 대화,이리로 토막 내 죽이 살리 싫 나 장난감 놓 보네 그러 제발 그만 몸 장난감 아주 잘 갖 놀 칼 그렇 칼 쑤시 맛 있 살리 살 애 재미없 야 새끼 경찰 미치 사이코 같 쏘 목 썰
기타 괴롭힘 대화,병신 아이스크림 먹 되 먹 안 되 하 당연히 안 되 공부 못 찐 따 잖 닭대가리 말 하네 동물 농장 나가 학교 폭력 신고 전 무섭 살리 으헝 헝 제발 저리 아이스크림 먹 시간 공부 멈추 저 처맞 다니
갈취 대화,한창 분위기 좋 때 방해 누 새끼 갑자기 쉬 쉬 사장 흥분 여자 오빠 되 사람 안타깝 얘 아직 안 어 때 사랑 사이 푸하 이분 재미있 번 실수 같 용서 용서 것 용서 필요 있 사모 번호 돈 필요 지분 팔 줌세 제발 사장 소유 은행 있 건물 기억 나
기타 괴롭힘 대화,따르 하 애구 안 따르 하 머라 사진 다 있 모르 찍히 정신 차리 진짜 애 작작 나 진짜 가 썸남 꼬 리치 거짓말 다 듣 이러 진짜 닮 앤가 보 입 하 애 들 제발 이러 선생 말
협박 대화,자꾸 연락 무시 가만있 집 가 다 말 정말 그러 제발 이제 자꾸 연락 무시 해결책 내놓 하 길 원하 집 가 와이프 말 안 되 이혼당 정도 생각 안 하 행동 진짜 칼 갈기갈기 찢 죽이 가만있 이렇 말 안 통하 자꾸 연락 차단 냐 그렇 나오 이제 가만있
기타 괴롭힘 대화,고 학교 배정 어쩌 고 학교 어떻 내 구리 애 다 돌대가리 일진 상관없 어차피 공부 잘 하 상관없 친구 다 공부 못 애 놀 애 분 안 놀 지내 존 나 구 려 고등학교 가 집 잘 살 공부 잘 친구 많이 사귀 그러 어쩌 냐 이 생 망 해
기타 괴롭힘 대화,손 병신 한숨 쉬 손 병신 그렇 부르 병신 병신 그러 그렇 말 병신 아 손 똥 닦 말 하 새끼 형 말 말대답 때리 마 구 병신 새끼
기타 괴롭힘 대화,쳐다보 말 하 미안 보 거 지금 쳐다보 일부러 보 보 맞네 거짓말 거짓말 나쁘 지 맞 미안 잘못 잘못 반성문 쓰
직장 내 괴롭힘 대화,나이 이르 주 되 기본 탑재 안 되 어떡 소리 좀 듣 싫 제대로 하 없 다음 제대로 하 보 하 다음 없 모르 제대로 좀 하 제발 정말 아주 가정 교육 다시 받 되 문제 많 요새 젊
갈취 대화,오늘 지갑 안 가져오 빌리 지난번 빌리 돈 아직 안 주 급하 오늘 하 줄 약속 안 지키 드리 싫 사이 왜 정 말 힘들 주 다시 달 안 하 정말 앞 안 괴롭히 이번 마지막
직장 내 괴롭힘 대화,팀장 오늘 당직 직원 부모 상당 문자 직원 부탁 드리 되 서무 하 일 그렇 주말 당직자 부탁 늘 문자 못 보내 오 하 못 듣 오 보내 주말 사무실 가 시간 좀 걸리 보내 당직자 원래 하 일 맡 모르 오 보내 말 하 끊
기타 괴롭힘 대화,사진 합성 프로필 사진 너 맞 얼굴 몸 이렇 합성 이유 얼굴 살짝 뜬금없 일부러 놀리 늘 지 남 사진 이러 불법 예예 그 러 하 증거 있 핸드폰 남 거일 있 사진 지우 싫 웃기잖 돼지 같 좋 돼지 얼굴 돼지 몸 붙이 잘못 돼지 니 진 짜 말 가리 해 돼지 걷 때 꿀 꾸 소리 내
갈취 대화,내놓 내놓 없 주 뒤지 나오 어쩔 뒤지 뒤 비 안 나오 어쩌 없 일 하 집 가 받 싫 진짜 죽 왜 죽 미치 넌 맞 정신 차리 하 얼마 필요 이제 정신 드 냐 얼마 필요 가지 와라
협박 대화,돈 훔치 돈 훔치 없 지갑 있 돈 흘리 웃기 집 찢어지 가난 도둑 하 도둑년 당당 눈 치켜뜨 정말 같 손목 분지르 지 다시 도둑 정말 큰소리 내지 마 짜증 나 손목 분지르 입 막히 정신 차 리 래
직장 내 괴롭힘 대화,조 선생 해 부르 말 더 있 직장 그렇 부르 존칭 쓰 부르 일 제대로 하 알 일 이따 쓰레기 버리 와 라 치료실 너무 더럽 혼자 하 너무 힘 다 늙 하 알 버리 오
기타 괴롭힘 대화,이번 약속 못 빼 부족 못 빼 지 돼지 정도 못 빼 노력 노력 안 하 정도 식 죽 먹 하 돼지 이상 소리 내 돼지 더 노력 예쁘 돼지 노력 이 뻐 돼지 예쁘 예쁘 다 똑같 돼지 돼지 그러 마 동생 쪽팔리 돼지 돼지 돼지 알 오빠 밉
갈취 대화,아줌마 운전 이렇 하 일 아줌마 주차 오토바이 치 소리 이렇 주차 선 안 차 잘 들어가 보 오토바이 이렇 쓰러지 아줌마 차 오토바이 치 말 안 되 소리 이렇 경찰 부르 되 호텔 주차장 잖 아줌마 싸 처리 어떻 말 안 되 소리 하 경찰 부르 보험 회사 부르 아줌마 남편 부르 다음 주 사이좋 남편 운전 연수 되 완 전 사기
직장 내 괴롭힘 대화,이번 육아휴직 내 남자 육아 휴직 아내 너무 힘들 어 힘들 알 회사 복지 유가 휴직 제도 있 쓰 있 쓰 말씀 요 휴 오 자리 있 보 너무 부당 생각 지금 그만두
기타 괴롭힘 대화,재형아 미치 새끼 보 재형 더럽 새끼 더 기분 나쁘 존재 자체 민폐인 새끼 재형 보 새끼 새끼 욕 미안 이제 잘못 현우 작작 괜히 심하 건들 큰일 날 같 나중 적당히 건들 웃기 새끼 나쁘 사람 만 드 명령 하 현우 적당히 하 더럽 잘못 건들 손 착하 참 적당히 하 죄 지 계속 그러 작작 새끼 미치 하교 시간 때 보 먼지 나 맞 준비 새끼 중학교 생활 망 말 사람 잘못 건드리 성적표 점수 내려가 준비
기타 괴롭힘 대화,민호 보 밖 없 애 들 놀리 마 놀리 그러 놀리 듣 놀리 밖 안 들리 시발 러이 뒤지 갑자기 화나 시발 가 놀리 같 놀리 말 더 말 꾸 다음 죽이 미안
갈취 대화,좋 말 놓 가 아빠 사 그냥 빌리 빨리 벗 진짜 안 놓 가 제 발요 랄 가지 다 내놓 제발 돌려주 되돌리 새끼 안
협박 대화,게임 팀 맞 맞 부르 키 초등학생 못 이기 덩치 형 햄버거 사 기분 풀 집 가 클랜 전 망하 덕분 클랜 랭킹 내려가 기분 좋 그러 애 게임 현실 구분 못 하 방구석 히키코 모리 살 말 있 계속 얘기 말 있 때 모르 제발 게임 현실 구분 그러 사람 죽이 생기 랭킹 떨어지 사람 죽이 잘 아 현질 올리 다 망치 책임지 실컷 떠들 나 게임 현실 구분 못 하 게임 죽이 진짜 바로 죽 왜 이 게임 다음 안 그럴 랭킹 높이 줄 애초 그렇 말 넘어가 사람 자존감 깎 리 게임 한 헤드 샷 날리 쓰러지 더 덕분 실제로 그렇 테스트 있 되 고맙 고맙 총 빨리 내려놓 그러 범죄자 되 니
갈취 대화,지나가 애 잘 살 형 학교 잘 살 애 맞 어리 바리 집안 끝내 하 부르 오 형 형 보시 잰 왜 말 토 달 가 알 따라오 집 살 놀 없 말 지갑 빌리 이러 돈 없 가방 뒤지 돈 나오 얼굴 맞 맞 곱 주
직장 내 괴롭힘 대화,최 대리 이제 살 빼 사람 너무 둔하 보이 빼 운동 하 회사 일 바쁘 운동 시간 있 일 제대로 하 칼퇴 잘 하 죄 송하 운동 하 먹 사무실 쩝쩝거리 말 말 맨날 하 해
기타 괴롭힘 대화,새우버거 고객 새우버거 가게 슈림프 치즈 버 거 있 드 말 그렇 많 이름 다르 확인차 여 쭸 주 말 주 주 늘 주 받 때 먹 불편 확인 다르 말 새우 들어가 같 치즈 들어가 치즈 빼 되 냐 멍 청 말 그렇 많
기타 괴롭힘 대화,손가락 장애 귀 장애 있 못 알아들 지금 하 장 애보 장애 하 잘못 사과 싫 왜 가만 안 정말 무 섭네 꺼지
기타 괴롭힘 대화,철중 아 안녕 카 톡 방 나가 다시 초대 지랄 지랄 하 많이 크 새끼 버 러 같 아직 정신 못 차리 진짜 개화 하 머저 주제 새끼 하 머 저 리 래 주제 파악 못 모디리 닥치 계속 깝죽거리 길 깝죽거리 계속 이러 가만히 있 어쩌 어쩌 엄마 아빠 개지 질 짓 하
협박 대화,할아버지 버스 안 환기 잘 안 마스크 써 요 쓰 하 있 이제 버스 원래 마스크 안 쓰 키 벌금 내 어쩌 지금 내쫓 있 사람 있 내리 내려 공공 장소 남 피 하 안 죽이 오해 마스크 평생 안 쓰 만들 소리세 말 함부로 하 안 되 아무리 연세 많 하 애초 신경 건드리 지금 이렇 어리 여럿 패 다니 오랜만 힘쓰 협박 신고 마스크 쓰 하 그렇 말씀 말 하 상관 실제로 죽이 오늘 저녁 죽 같 신 나 신고 끌끌
기타 괴롭힘 대화,사진 못생기 댓 글 달 팩트 얼굴 구토 나오 사진 눈 너무 작 다 신고 겁 죄 빻 진짜 얼굴 메기 닮음 메기
갈취 대화,돈 많 돈 빌리 돈 안 갚 빌리 되 확 뺏 뺏 빌리 다 싫 돈 지금 가지 다 내놓 안 제발 그냥 조금 빌리 알 이렇
갈취 대화,친구 일 오늘 화장 아이 응 잘 먹 쓰 신상 너무 이쁘 갖 별로 안 비싸 별로 안 비싸 새거 사 되 그치 얼른 주 친구
기타 괴롭힘 대화,아가씨 알 요 이쁘 살 저리 가 비싸 굴 몸매 죽이 따라오 그러 따라오 재밌 보이 따라오 시 더럽 비싸 굽 네 따라오 놓
직장 내 괴롭힘 대화,인재 회사 말씀 차장 지난주 사직 고려 말 면담 감정 욱 하 그 러 지금 맘 바뀌 그냥 다 하 사직서 받 되 인재 자르 일 처리 똑바로 하 마음 아프 네
갈취 대화,돈 주 일 돕와 다치 없 감사 지금 돈 없 모르 그러 곳 옮기 덕분 살 같 감사 감사 보상 하 되 같 전 가지 없 나중 잊 꼭 보답 보답 하 도와주 진짜 잊 보답 집 가 있 도와주 돈 주 보답 하 하
기타 괴롭힘 대화,코털 아 놔되 매점 가 곰보 빵 콜라 하 사와 돈 없 돈 없 돌 줄 빵 콜라 사 거스름돈 거 슬 러오 턱 없 뒤지 쌔비 갖 오 색 카야
협박 대화,오빠 저 사귀 오빠 신인 때 응원 오빠 올라오 있 덕분 소리 무섭 소리 하 내 꺼지 매니저 부르 경찰 시 고 하 오빠 팬사 인회 사랑 무대 때 계 솓 쳐다보 기억 못 하 없 제발 팬 이제 가주 제발 오 빠 오빠 죽 좋 오빠 팬 죽 보 손 내려놓 위험 오빠 사랑 없 죽 신문사 기자 도다 소문 퍼 트리 오빠 임신 낙태 정말 미치 소름 끼치 경찰 부르 잡히 가 좋 말 칼 내려놓 오빠 오빠 어제 연예인 랑 데이트 보 오빠 날 배신 오빠 바라보 비참 죽 손목 오빠 천국 다음 생 만나 평생 사랑 악 제발 다가오 마
기타 괴롭힘 대화,김 여사 진짜 짜증 나 네 아줌마 차 빨리 초보 운전 진짜 아줌마 운전 집 밥 하 나오 민폐 끼치 말 너무 심하 아줌마 겁 상실 김 여사 앞 운전 집 애 키우 남편 내조 잘 여자 운전 사람 다 보 어이 없
기타 괴롭힘 대화,빵 좀 사 미안 나영 오늘 돈 없 미 친 애 삥 뜯 구해 어떻 그렇 하 새끼 대들 빵 훔치 오 미치 이상 도대체 그러 미치 우습 그냥 그렇 그렇 말 하 빨리 사 쓰레기
직장 내 괴롭힘 대화,커피 타오 말씀 겁 잡일 사람 말 있 지금 타 오 타오 먹 타 맞 똑같 믹스 커피 이렇 맛대가리 없이 타 혓바닥 화상 입 죽 이렇 뜨겁 타 최대한 정성 들이 타 입맛 안 맞 잘 일 없 다 안쓰럽 지 지금 잘 살 잘 없 앞 더 노력 당연히 노력 지 지금 이렇 살 뒤 집 백수 로 살 하 받 회사 없 똑바로 하 알
기타 괴롭힘 대화,사람 보 보 진짜 티브이 나오 못생기 개그맨 닮 푸하 하 진짜 못생기 허 너무 크 얘기 보 지금 말씀 그렇 그냥 가 길 가시 되 같 사람 못생기 대신 귀 밝 보 못생길 아나 보네 하 말 맞네 지금 모욕감 느끼 빨리 사과 사람 보 한말 너무 같 다 듣 잘 생기 같 말 하 권리 있 대체
직장 내 괴롭힘 대화,김 대 리 도대체 일 처리 모양 실수 있 말 꾸 또박또박 같 친구 보이 진짜 회사 찍히 의도 말 그냥 회사 쥐 죽 살 알
협박 대화,말 안 듣 듣 말 그렇 하 하 없 그렇 때 진짜 죽이 죽이 진심 칼 찌르 있 같 정 면 진정 지금 칼 가져오 미안 계속 진 짜 죽이 안 그럴
기타 괴롭힘 대화,드디어 아들 낳 속 다 아버지 그동안 명절 사돈 안부 전화 때 역할 다 하 창피 알 얼굴 들 아버지 더 만 고생 심하 드디어 아기 가지 다행 마침 아들 더욱 다행 아버지 진짜 오 너무 행복 시험 관 하 허비 알 나이 빨리 가지 아버지 진 짜 힘들 아기 가지 거 생각 없 크 딸 소리 빨리 가지 애 키우 쉬 어차피 시간 많 병원 다니 힘쓰 아버지 애 키우 힘들 정말
협박 대화,내일 삼송 그룹 회장 탈세 하 사실 기사 내보내 기자 맞 좋 말 하 기사 올리 천호초 앞 우미리 아파트 동 살 자식 경 등교 하 딩동댕 피아노 학원 가 지금 앞 하 말 잘 듣 말 하 모르 올리 되 되 시민 알 권리 있 대한민국 밝히 일 직업 소명 기 자 직업 택하 같 기자 하루 처리 세상 권력 목숨 값 정도 쉽 지금 안 하 하 목숨 챙기 가 있 내일 포함 가족 전부 죽 되 세상 경찰 있 분명 폭로 하 기자 죽 보 공론 다 죽이 탄로 나 말귀 잘 못 알 먹구 세상 바꾸 있 생각 크 오산 직 업적 소명 내일 목 매 달 작별 인사 못 산 치 묻히 싫 조용히 파일 넘기 나가 살리
갈취 대화,승한아 버스비 충전 돈 없 빌리 안 용돈 없 말 학교 못 다니 빌리 정말 미안 진짜 돈 없 돈 없 빌리 안 미안 너무 하 학교 오 돈 없 걷 다니 빌리 벼터 용돈 받 전 돌리 줄 되 알 용돈 받 전 꼭 주
직장 내 괴롭힘 대화,낫 가 커피 좀 타 오 낫 커피 나 은씨 집 아빠 커피 안 타주 아빠 스스로 내리 드 집 같 생각 하 살 있 생각 얼른 타 입 아프
기타 괴롭힘 대화,안녕 번호 알 있 주 가 하 그냥 번호 주 싫 돌 그냥 번호 달 싫 번호 주 되 소리 지르 그렇 멍 청이요 멍청
협박 대화,좀 도와주 알 아가씨 새끼 잡 놓 휴 야도 별수 없 남자 여자 유혹 넘어가 함정 수고 보상 감사 알 이제 죽 원하 경찰 청장 아들 아버지 식구 고생 알 그 죽이 개인 감정 없 아버지 빼
협박 대화,그만 꺼지 하 그냥 존재 자체 짜증 처 맞 미안 동생 이쁘 이쁘 동생 건드리 마 건 안 하 죽 새끼 미안
기타 괴롭힘 대화,정말로 나중 맞 미안 얼굴 거지 같 미안 진 짜 그렇 사 재수 없 미안 더 자퇴 미안 진짜 믿 되 말 싫 꺼지
기타 괴롭힘 대화,서비스 좀 주 세 원어치 사시 남 없 맘 카페 회원 정 없이 장사 안 알 요새 오 때 더 드리 오 알 주 약속 지금 실행 옮기 세 정말 여유분 없 왜 이렇 굴 양해 하 그렇 장사 오래 못
갈취 대화,김 팀장 립스틱 사 신상 너무 이쁘 바르 어머 어머 톤 잘 맞네 나 좀 빌리 오늘 저녁 맞 선 보 가 립스틱 찰떡 수정 화장 때 쓰 좋 같 어제 사 가져간 쓰 돌려주 되 왜 이렇 심보 못 되 맞서 잘 안 좋 김 팀장
갈취 대화,옆 학교 애지 이리 오 보 일 배 너무 고프 돈 없 돈 빌리 돈 없 없 뒤지 나오 기요 미치 새끼 있 거짓말 치 집 보내 그러 거짓말 하 래 핸드폰 꺼내 전자 기기 다 꺼내 손 있 시계 풀 무선 이어폰 빼 안 제 발요 처맞 죽 좋 말 하 내놓 여 깄 진작 말 하 이제 꺼지
직장 내 괴롭힘 대화,김 대 리 커피 못 타 죄 물 많이 넣 한강물 만들 하 다시 타올 다시 타 그냥 마시 되 나쁘 만들 작정 소리 아주 괴롭히 알 괴롭히 말 생기 놀 짜증 뽑 새끼
직장 내 괴롭힘 대화,부장 부르 이번 주 금요일 연차 쓰 있 안 한창 바쁘 때 연차 사용 없 신규 연차 쓰 눈치 더럽 없 말씀 그렇 하 가 말 안 하 너무 못 하 너무 못생기 일 잘 하
직장 내 괴롭힘 대화,하사원 놀 못 월급 축내 진 짜 그냥 내 나오 마 처자식 있 알
갈취 대화,좋 말 내놓 뒤지 정말 다 예요 장난치 놀 오 안 가져오 얘 병신 보 정말 가방 숙소 두 오 정말 현금 좋 가 솔직히 말 정말 다예요 오늘 잡치 두 빨리 꺼지
갈취 대화,이자 이리 늘어 너무 새끼 애초 돈 빌리 돈 주인 말 하 너무 돈 우습 죽 막 빌리 막 이자 올리 지 진짜 왜 그러 나중 돈 입금 좋 깡패 죽 죽 약골 까 부 혼 나 래 아프 이자 배 늘어나 알
직장 내 괴롭힘 대화,새끼 잘못 다 알 이러 너무 과 하 같 과해 과하 새끼 오 오 이렇 기어오르 실수 부분 인정 그렇 가지가지 하네 말 잘못 그냥 입 닥치 골 때리 새끼 뜻 회사 도움 되 생각 그냥 시키 일 똑바로 하 옆 찌그러지 아오 진짜 너무 부당 사항 말씀 드리 우리나라 법 부당 국회 가 따지 새끼 대가리 똥 차 그냥 사리 알 하 끝내 되 오 손해 너무 크 같 돈 나 뒷일 알 위 하 나대
직장 내 괴롭힘 대화,과장 다음 주 여름 휴가 사용 되 다음 주 박 대리 쓰 하 쓰 다 다음 주 가능 다 다음 주 김 대리 다 바쁘 일 휴가 쓰 하 가족 휴가 다녀오 다 열심히 일 가 오 다 가 오 맡 일 이번 주 다 끝내 있 말씀 드리 되 쓰 나중 나중 언제 쓰 되 모르 그냥 나중 쓰
협박 대화,없 아들 잘생기 이제 아들 못 보 인사 하 없 아들 잘 알 아들 없 세상 못 살 아 살 죽 알 필요 그냥 아들 아들 필요 이유 뭡 가능 다 해결 딱 기회 주 역 물품 보관소 가 서류 있 서류 보내 장소 가지 놓 지금 하 경찰 신고 되 알 신 안 하 제발 아들 다치 하 하 아들 풀 다 하 신고 아들 목숨 목숨 끊 세상 존재 안 하 만들 진짜 하 하 그냥 서류 가지 주 되 맞
갈취 대화,꼬마 저 왜 왜 말 다 하 지금 어리 같 말 싹수 하 왜 이러 지금 가지 돈 얼마 돈 없 소리 사람 밖 다 늘 천원 안 갖 다니 진짜 급하 있 빨리 가보 하 가 돈 주 전 못 가 방 주머니 뒤지 때 돈 나오 다 알 이러 진짜
직장 내 괴롭힘 대화,김 대 리 커피 안타 오 해 금방 타 장난치 커피 다 식 금방 타 드리 되 그냥 밖 나가 라테 사오 알 카드 돈 사 인마
갈취 대화,학생 스톱 조 학교 다니 그러 나오 선 밴데 선배 위하 기부 돈 없 맞 그냥 주 래 진짜 앞 학교생활 기대 알 후배 잘 얘기 보 교재비 드리 처음 이렇 좋
직장 내 괴롭힘 대화,신규 똑바로 환자 관리 안 하 인수인계 제대로 듣 맞 환자 항암 약물 속 저렇 하 죽이 환장 인수 인계 들 약물 속도 프리셉터 선생 설명 바로 저렇 하 하 프리셉터 문제 잘 못 듣 바쁘 그렇 책 보 알 하 책 보 최대한 알 하 겁 모르 묻어 프리셉터 붙이 실전 하 행동 환자 죽 있 김 간호사 프리셉터 맞 그러 얘 약물 조절 잘못 책 보 하 그러 그러 대충 알리 없 괜히 잘못 탓 보 신규 간호사 일 제대로 못 하 알 없 가르치 맛 안 나 달간 굴리 정신 차리 설명 못 알아듣 보네 선배 간호사 탓 부족 생각 면 매일 남 연습 연습 이번 프리셉터 선생 배정 받 설명 듣 배우 없 가르치 간호사 되 알 다 하 하 동기 프리셉터 다 차근차근 설명 프리셉터 분 하 매일 잘못 배우 돈 내 동안 대학 다니 제발 알 해 남 탓 간호사 그만두 제대로 못 대학 병원 입사 사람 이렇 괴롭히 환자 똥 기저귀 갈 실력 없 말 많
